package,label,tabs
ATC, ATC, 1_startup_taxi_ground|Arranque taxi y despegue;1_startup_taxi_carrier|Arranque taxi y despegue (Carrier);2_departures|Salida y Check-IN;3_tanker|Repostaje;holding_push_raccoon1|Esperas RACCOON-1;op_raccoon1|TARCAP RACCOON-1;holding_push_raccoon2|Esperas RACCOON-2;op_raccoon2|TARCAP RACCOON-2;holding_push_badger1|Esperas BADGER-1;op_badger1|Escolta BADGER-1;holding_push_badger2|Esperas BADGER-2;op_badger2|Escolta BADGER-2;holding_push_badger3|Esperas BADGER-3;op_badger3|STRIKE BADGER-3;holding_push_badger4|Esperas BADGER-4;op_badger4|SEAD BADGER-4;8_arrivals_ground|Legada;8_arrivals_carrier|Legada (Carrier);9_shutdown_taxi_ground|Taxi y apagado;9_shutdown_taxi_carrier|Taxi y apagado (Carrier)
RACCOON-1, RACCOON-1, 1_startup_taxi_ground|Arranque taxi y despegue;2_departures|Salida y Check-IN;3_tanker|Repostaje;holding_push_raccoon1|Esperas;op_raccoon1|TARCAP;8_arrivals_ground|Legada;9_shutdown_taxi_ground|Taxi y apagado 
BADGER-1, BADGER-1, 1_startup_taxi_ground|Arranque taxi y despegue;2_departures|Salida y Check-IN;3_tanker|Repostaje;holding_push_badger1|Esperas;op_badger1|Escolta;8_arrivals_ground|Legada;9_shutdown_taxi_ground|Taxi y apagado
